word,frequency
says,5650
china,4744
new,4609
us,4391
russia,4106
isis,3759
syria,3524
state,3374
russian,3136
u.s,3106
police,2929
killed,2902
world,2865
iran,2744
islamic,2613
attack,2587
president,2514
government,2460
people,2380
said,2379
military,2309
israel,2285
first,2228
minister,2141
ukraine,2087
saudi,2017
south,1978
two,1970
war,1916
paris,1905
uk,1855
syrian,1825
turkey,1822
india,1796
attacks,1792
|,1782
deal,1782
nuclear,1771
years,1729
un,1622
eu,1589
north,1584
court,1559
israeli,1530
air,1523
yemen,1520
could,1512
group,1505
dead,1476
found,1475
